,Rank,Release Group,Worldwide,Domestic,%,Foreign,%,imdb_id,movieDB_id,cast name and character
10,11,Dune,"$400,489,663","$108,145,704",27%,"$292,343,959",73%,tt1160419,438631.0,"Timothée Chalamet: Paul Atreides
Rebecca Ferguson: Lady Jessica Atreides
Oscar Isaac: Duke Leto Atreides
Josh Brolin: Gurney Halleck
Stellan Skarsgård: Baron Vladimir Harkonnen
Dave Bautista: Beast Rabban Harkonnen
Sharon Duncan-Brewster: Dr. Liet Kynes
Stephen McKinley Henderson: Thufir Hawat
Zendaya: Chani
Chang Chen: Dr. Wellington Yueh
Charlotte Rampling: Reverend Mother Gaius Helen Mohiam
Jason Momoa: Duncan Idaho
Javier Bardem: Stilgar
David Dastmalchian: Piter de Vries
Babs Olusanmokun: Jamis
Golda Rosheuvel: Shadout Mapes
Roger Yuan: Lieutenant Lanville
Benjamin Clémentine: Herald of the Change
Souad Faress: Bene Gesserit Sister
Seun Shote: Arrakeen Residency Gardener
Neil Bell: Sardaukar Bashar
Oliver Ryan: Hawat Specialist
Stephen Collins: Harkonnen Trooper
Charlie Rawes: Harkonnen Trooper
Richard Carter: Harkonnen Trooper
Benjamin Dilloway: Sardaukar Assassin
Elmi Rashid Elmi: Shamir
Tachia Newall: Tanat
Gloria Obianyo: Female Fremen
Fehinti Balogun: Male Fremen
Dora Kápolnai-Schvab: Baron Servant
Joelle Amery: Baron Servant
Jimmy Walker: Atreides Lieutenant
Paul Bullion: Sardaukar Soldier
Milena Sidorova: Human Spider Proxy
János Timkó: Harkonnen Guard
Jean Gilpin: Bene Gesserit Ancestor (voice)
Marianne Faithfull: Bene Gesserit Ancestor (voice)
Ellen Dubin: Bene Gesserit Ancestor (voice)
"
11,12,Black Widow,"$379,751,655","$183,651,655",48.4%,"$196,100,000",51.6%,tt3480822,497698.0,"Scarlett Johansson: Natasha Romanoff / Black Widow
Florence Pugh: Yelena Belova
Rachel Weisz: Melina Vostokoff
David Harbour: Alexei Shostakov / Red Guardian
Ray Winstone: Dreykov
Olga Kurylenko: Antonia Dreykov
Ever Anderson: Young Natasha
Violet McGraw: Young Yelena
O.T. Fagbenle: Mason
William Hurt: Secretary Thaddeus 'Thunderbolt' Ross
Ryan Kiera Armstrong: Young Antonia
Liani Samuel: Lerato
Michelle Lee: Oksana
Lewis Young: Scientist Morocco 1
C.C. Smiff: Scientist Morocco 2
Nanna Blondell: Ingrid
Simona Zivkovska: Widow
Erin Jameson: Widow
Shaina West: Widow
Yolanda Lynes: Widow
Claudia Heinz: Widow
Fatou Bah: Widow
Jade Ma: Widow
Jade Xu: Widow
Lucy-Jayne Murray: Widow
Lucy Cork: Widow
Eniko Fulop: Widow
Lauren Okadigbo: Widow
Agel Aurélia: Widow
Zhanè Samuels: Widow
Shawarah Battles: Widow
Tabby Bond: Widow
Madeleine Nicholls: Widow
Yasmin Riley: Widow
Fiona Griffiths: Widow
Georgia Curtis: Widow
Svetlana Constantine: Widow
Ione Butler: Widow
Aubrey Cleland: Widow
Kurt Yue: Ross Lieutenant
Doug Robson: Ohio Agent
Marcel Dorian: Man In BMW
Zoltán Nagy: Budapest Clerk
Liran Nathan: Mechanic
Judit Varga-Szathmary: Mechanic's Wife
Noel Krisztian Kozak: Mechanic's Child
Martin Razpopov: Tattoo Gulag Inmate
Olivier Richters: Ursa Major
Dalibor Bajunovic: Gulag Inmate
Andrew Byron: Gulag Cookie Guard
Ed Ashe: Strudel Gulag Guard
Dawid Szatarski: Red Room Scientist 1
Cali Nelle: Red Room Scientist 2
Geoffrey D. Williams: Ross Agent
Robert Pralgo: Ross Agent
Jacinte Blankenship: Ross Agent
Josh Henry: Ross Agent
Jose Miguel Vasquez: Ross Agent
Valentina Herrera: Young Widow
Danielle Jalade: Young Widow
Aria Brooks: Street Kid
Sophie Colgrove: Street Kid
Caister Myung Choi: Street Kid
David Turner: SWAT Team (uncredited)
Edward L. Oliver: SWAT Team Leader (uncredited)
Dale Liner: SWAT Team Leader (uncredited)
Rob Horrocks: Polish Soldier (uncredited)
Oliver Simms: Super Soldier (uncredited)
Yuuki Luna: Widow (uncredited)
Kalina Vanska: Commuter (uncredited)
Jordyn Curet: Young Ingrid (uncredited)
Chad J. Wagner: Neighbor (uncredited)
Joakim Skarli: Russian Soldier (uncredited)
Ian Wilson: Russian Spetnaz (uncredited)
Omar Alboukharey: Flamboyant Prisoner (uncredited)
Tyrone Kearns: Prisoner (uncredited)
Gavin Lee Lewis: Prisoner (uncredited)
Ahmed Bakare: Prisoner (uncredited)
Zoltan Rencsar: Prisoner (uncredited)
Adam Prickett: Russian Prisoner (uncredited)
Luigi Boccanfuso: Gulag Prisoner (uncredited)
Roman Green: Gulag Arm Wrestling Inmate (uncredited)
Clem So: Gulag Inmate (uncredited)
Graham Kitchen: Gulag Inmate #4 (uncredited)
Daniel Joseph Woolf: Gulag Inmate #120 (uncredited)
John Wolfe: Guard (uncredited)
Paul O'Kelly: Riot Guard (uncredited)
Shane Askam: Gulag Riot Guard (uncredited)
Obie Matthew: Prison Riot Guard (uncredited)
Ty Hurley: Prison Riot Guard (uncredited)
Stephen Samson: KGB (uncredited)
Marian Lorencik: KGB (uncredited)
Julia Louis-Dreyfus: Contessa Valentina Allegra de Fontaine (uncredited)
Jeremy Renner: Clint Barton / Hawkeye (voice) (uncredited)
"
12,13,Sing 2,"$361,225,330","$154,106,330",42.7%,"$207,119,000",57.3%,tt6467266,438695.0,"Matthew McConaughey: Buster Moon (voice)
Reese Witherspoon: Rosita (voice)
Scarlett Johansson: Ash (voice)
Taron Egerton: Johnny (voice)
Bobby Cannavale: Mr. Crystal (voice)
Tori Kelly: Meena (voice)
Nick Kroll: Gunter (voice)
Halsey: Porsha Crystal (voice)
Spike Jonze: Jerry (voice) (uncredited)
Nick Offerman: Norman (voice)
Letitia Wright: Nooshy (voice)
Eric André: Darius (voice)
Pharrell Williams: Alfonso (voice)
Chelsea Peretti: Suki (voice)
Bono: Clay Calloway (voice)
Garth Jennings: Miss Crawly (voice)
Adam Buxton: Klaus Kickenklober (voice)
Jennifer Saunders: Nana (voice)
Julia Davis: Linda Le Bon (voice)
Peter Serafinowicz: Big Daddy (voice)
Edgar Wright: Additional Voices (voice)
Wes Anderson: Additional Voices (voice)
Scott Mosier: Additional Voices (voice)
Jason Schwartzman: Additional Voices (voice)
Tara Strong: Additional Voices (voice)
Fisher Stevens: Additional Voices (voice)
Debra Wilson: Additional Voice (voice)
Doug Burch: Additional Voice (voice)
Cathy Cavadini: Additional Voice (voice)
Chris Renaud: Additional Voice (voice)
Brian T. Delaney: Additional Voice (voice)
Aaron Fors: Additional Voice (voice)
Julianna Gamiz: Additional Voice (voice)
Aaron Hendry: Additional Voice (voice)
Barbara Harris: Additional Voice (voice)
JP Karliak: Additional Voice (voice)
John Kassir: Additional Voice (voice)
Danny Mann: Additional Voice (voice)
Regina Taufen: Additional Voice (voice)
Will Collyer: Additional Voice (voice)
Hudson D'Andrea: Additional Voice (voice)
Remy Edgerly: Additional Voice (voice)
George Griffiths: Additional Voice (voice)
Isa Hall: Additional Voice (voice)
Asa Jennings: Additional Voice (voice)
Caspar Jennings: Additional Voice (voice)
Louise Jennings: Additional Voice (voice)
Katherine Kelloway: Additional Voice (voice)
Igor Khait: Additional Voice (voice)
Vida Alves McConaughhey: Additional Voice (voice)
Jason Broad: Additional Voice (voice)
Levi Nunez: Additional Voice (voice)
Joy Poirel: Additional Voice (voice)
Adeline Krupinski Polidoro: Additional Voice (voice)
Noreen Reardon: Additional Voice (voice)
Gary P. Rizzo: Additional Voice (voice)
Liza Seneca: Additional Voice (voice)
Ayden Soria: Additional Voice (voice)
Jack Stanton: Additional Voice (voice)
Thomas Walters: Additional Voice (voice)
Colette Whitaker: Additional Voice (voice)
Nora Wyman: Additional Voice (voice)
"
13,14,Free Guy,"$331,526,598","$121,626,598",36.7%,"$209,900,000",63.3%,tt6264654,550988.0,"Ryan Reynolds: Guy
Jodie Comer: Millie Rusk / Molotovgirl
Joe Keery: Walter 'Keys' McKeys
Lil Rel Howery: Buddy
Utkarsh Ambudkar: Mouser
Taika Waititi: Antwan Hovachelik
Channing Tatum: Revenjamin Buttons
Aaron W Reed: Dude
Britne Oldford: Barista
Camille Kostek: Bombshell
Mark Lainer: Hostage
Mike Devine: Officer Johnny
Sophie Levy: Big City Dreamer
Vernon Scott: Bank Manager
Naheem Garcia: Convenience Store Owner Joe
Anabel Graetz: Cat Lady Phyllis
Ric Plamenco: Ice Cream Vendor
Kenneth Israel: Businessman
Michael Malvesti: Newsstand Vendor
Colin Allen: Shoe Store Clerk
Michael Tow: Rain Man
Hugh Jackman: Masked Player in Alley (voice)
Dwayne Johnson: Bank Robber #2 (voice)
Tina Fey: Vacuuming Mom (voice)
John Krasinski: Silhouetted Gamer (voice)
Chris Evans: Chris Evans
Alex Trebek: Alex Trebek
Lara Spencer: Lara Spencer
Matthew Cardarople: Keith, the 22-Year-Old Gamer
Jonathan De Azevedo: Jonathan
Destiny Claymore: Art Nerd
Ninja: Ninja
Imane Anys: Pokimane
Lannan Eacott: Lazarbeam
Seán McLoughlin: Jacksepticeye
DanTDM: DanTDM
Charlotte Levy: Tween Gamer Girl
Colette Levy: Foul-Mouthed Little Sister
Mariama Conde: Teenage Girl
Olivia Z. Cote: Teenage Girl
Ryan Doyle: Teenage Boy
Bob Gilliam: Free City News Anchor
Terri Schwartz: IGN Reporter
Eugene Nomura: Japanese Reporter
Euri Nomura: Hinata
Octavia Chavez-Richmond: Real World Coffee Shop Server
Raj Jawa: Quad-Screen Gamer
Charlie Lehmer: Quad-Screen Gamer
Elainy Mata: Quad-Screen Gamer
Jack McLaglen: Quad-Screen Gamer
Jose Guns Alves: Soonami Security Guard
Minh-Anh Day: Soonami Employee
Ella Faria: Austrian Female Gamer
Francisco Marquez: Bank Robber #1
Owen Burke: Bank Robber #2
Timothy John Smith: Bank Robber #3
Justin Johnston: Bank Robber #4
Patrick Vincent Curran: Masked Player in Alley
Lily Steven: 20-Year-Old Female Gamer
Gabrielle Lorthe: 20-Year-Old Female Gamer
Briana Mitchell: 20-Year-Old Female Gamer
Rosario Corso: Silhouetted Gamer
Regina Taufen: Vacuuming Mom
Liam Campos: Kid Gamer
Piper Acord: Contestant
Brett Schneider: Contestant
Omar Ghonim: Carjacking Victim (uncredited)
Tait Fletcher: Viking Warrior NPC (uncredited)
Domenic Arduino: Soonami Tech (uncredited)
Emma Jonnz: Emma (uncredited)
"
14,15,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%,tt8332922,520763.0,"Emily Blunt: Evelyn Abbott
Cillian Murphy: Emmett
Millicent Simmonds: Regan Abbott
Noah Jupe: Marcus Abbott
Djimon Hounsou: Man on Island
John Krasinski: Lee Abbott
Wayne Duvall: Roger
Scoot McNairy: Marina Man
Okieriete Onaodowan: Policeman
Blake DeLong: Umpire
Silas Pereira-Olson: 7 Year Old Island Boy (uncredited)
Scott Matheny: Townsperson (uncredited)
Liz Cameron: Island Person
Lauren-Ashley Cristiano: Emmett's Wife
Ashley Dyke: Woman in the Window
Andy Rich: Island person
Robert A. Coldicott: Townsperson
Bill Smith: Townsperson
Zachary Golinger: Emmett's Son
Sheri Fairchild: Woman at Hair Salon
Barbara Singer: Old Woman in Store
Gary Sundown: Island Person
Kyle Licht: Townsperson with Car
David Lundy: Marina Person
Krzysztof  Mardula: Neighbor
Alice Sophie Malyukova: Girl at Marina
"
15,16,Encanto,"$248,739,458","$95,652,717",38.5%,"$153,086,741",61.5%,tt2953050,568124.0,"Stephanie Beatriz: Mirabel Madrigal (voice)
María Cecilia Botero: Abuela Alma Madrigal (voice)
John Leguizamo: Bruno Madrigal (voice)
Mauro Castillo: Félix Madrigal (voice)
Jessica Darrow: Luisa Madrigal (voice)
Angie Cepeda: Julieta Madrigal  (voice)
Carolina Gaitán: Pepa Madrigal (voice)
Diane Guerrero: Isabela Madrigal (voice)
Wilmer Valderrama: Agustín Madrigal (voice)
Rhenzy Feliz: Camilo Madrigal (voice)
Ravi Cabot-Conyers: Antonio Madrigal (voice)
Adassa: Dolores Madrigal (voice)
Maluma: Mariano (voice)
Rose Portillo: Señora Guzmán (voice)
Juan Castano: Osvaldo (voice)
Sarah-Nicole Robles: Señora Ozma (voice)
Hector Elias: Old Arturo (voice)
Alan Tudyk: Toucan (voice)
Olga Merediz: Abuela Alma Madrigal (singing voice)
"
16,17,Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%,tt3228774,337404.0,"Emma Stone: Estella / Cruella
Emma Thompson: The Baroness
Joel Fry: Jasper
Paul Walter Hauser: Horace
Mark Strong: John the Valet
Tipper Seifert-Cleveland: Estella (12 yrs)
Kirby Howell-Baptiste: Anita Darling
Emily Beecham: Catherine
John McCrea: Artie
Kayvan Novak: Roger
Jamie Demetriou: Gerald
Abraham Popoola: George
Leo Bill: Headmaster
Javone Prince: Ipswich Manor Security Guard
Steve Edge: Steven the Jewellery Shop Assistant
Paul Chowdhry: Restaurant Owner
Ziggy Gardner: Jasper (12 yrs)
Joseph MacDonald: Horace (12 yrs)
Niamh Lynch: Liberty Shop Girl
Andrew Leung: Jeffrey
Ed Birch: Baroness Head of Security
Dylan Lowe: Mean Ginger
Paul Bazely: Police Commissioner
Ninette Finch: Lady
Sarah Crowden: Beehive Lady
Harrison Willmott: Mean Kid
Jack Barry: Restaurant Valet
Asmara Gabrielle: Teacher
Tom Turner: The Baron
Crystal Wingx: Head Seamstress With Newspaper (uncredited)
John Wolfe: Guard (uncredited)
"
17,18,"My Country, My Parents","$221,701,823","$166,807",<0.1%,"$221,535,016",99.9%,tt15465312,869724.0,"Wu Jing: Ma Renxing
Zhang Ziyi: Yu Kaiying
Xu Zheng: Zhao Pingyang
Shen Teng: Xing Yihao
Huang Xuan: Shi Ruhong
Song Jia: Han Jingya
Kitty Zhang: 
Hong Tao: 
Oho Ou: 
Zu Feng: 
Zhang Yimou: 
Jia Bing: 
Ni Hongjie: 
Fan Yujie: 
Zhang Jianya: 
Zhang Zhihua: 
Zhang Guoqiang: 
Hu Ke: 
Sha Yi: 
Ma Shuliang: 
Cao Kefan: 
Wan Qian: 
Yuan Jinhui: 
Han Haolin: 
Geng Le: 
Chen Daoming: 
Du Jiang: 
Li Naiwen: 
Hai Qing: 
Peng Yuchang: 
Leo Wu: 
Zhang Tian'ai: 
Yu Ailei: 
Li Guangjie: 
Shui Jiang: 
Bai Narisu: 
Zhang Hengrui: 
Lu Chang'en: 
Vision Wei: 
Ma Li: 
Li Xuejian: 
Zhang Xiaofei: 
Chang Yuan: 
Ning Li: 
"
18,19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%,tt0870154,451048.0,"Dwayne Johnson: Frank Wolff
Emily Blunt: Dr. Lily Houghton
Edgar Ramírez: Lope de Aguirre
Jack Whitehall: McGregor Houghton
Jesse Plemons: Prince Joachim
Paul Giamatti: Nilo
Veronica Falcón: Trader Sam
Dani Rovira: Sancho
Quim Gutiérrez: Melchor
Dan Dargan Carter: Gonzalo
Andy Nyman: Sir James Hobbs-Coddington
Raphael Alejandro: Zaqueu
Simone Lockhart: Anna
Pedro López: Chief
Sulem Calderon: Quila
Sebastian Blunt: Society Guard
Mark Ashworth: Society Member 1
Allan Poppleton: Society Worker
Caroline Paige: Kid Tourist
James Quattrochi: Italian Tourist
Stephen Dunlevy: Middlepart
Philipp Maximilian: Axel
Romualdo Castillo: Animal Vendor
Pedro Haro: Bird Vendor
Christina Souza: Barmaid
Michael H. Cole: Bus Conductor
Hector Banos: Puka Michuna Warrior
Peter Luis Zimmerman: Puka Michuna Warrior
Travis Gomez: Puka Michuna Warrior
David Lengel: Boat Tourist
Justin Randell Brooke: Boat Tourist
Piper Collins: Boat Tourist
Keith Arthur Bolden: Boat Tourist
Marcus Young: Thug (uncredited)
"
19,20,Raging Fire,"$205,846,481","$385,305",0.2%,"$205,461,176",99.8%,tt8165192,513692.0,"Donnie Yen: Cheung Sung-Bong
Nicholas Tse: Yau Kong-ngo
Qin Lan: Anna Lam
Ray Lui: Superintendent Yiu Yeuk-Sing
Patrick Tam: Yuen Ka-Po
Tak-bun Wong: Tai Cheuk-Yin
Deep Ng: Chow Chi-Chun
Jeana Ho: Turbo Lui
Angus Yeung: Cho Ning
Bruce Tong Kwan-Chi: Kwan Chung-Him
Henry Prince Mak: Chiu Chi-Keung
Yu Kang: Mok Yik-Chuen
Cheung Man-Kit: Chu Yuk-Ming
Simon Yam: Sr. Asst. Commissioner Lok Chi-Fai
Derek Kok: Bill
Kwok Fung: Fok Siu-Tong (Kidnapped Millionaire)
Ken Lo: Ma Kau-wing
Singh Hartihan Bitto: Ali
"
20,21,The Conjuring: The Devil Made Me Do It,"$202,031,050","$65,631,050",32.5%,"$136,400,000",67.5%,tt7069210,423108.0,"Patrick Wilson: Ed Warren
Vera Farmiga: Lorraine Warren
Ruairi O'Connor: Arne Cheyne Johnson
Sarah Catherine Hook: Debbie Glatzel
Julian Hilliard: David Glatzel
John Noble: Father Kastner
Eugenie Bondurant: The Occultist
Shannon Kook: Drew Thomas
Ronnie Gene Blevins: Bruno
Keith Arthur Bolden: Sergeant  Clay
Steve Coulter: Father Gordon
Vince Pisani: Father Newman
Charlene Amoia: Judy Glatzel
Megan Ashley Brown: Young Lorraine
Sterling Jerins: Judy Warren
Andrea Andrade: Katie
Mitchell Hoog: Young Ed
Ashley LeConte Campbell: Meryl Dewitt
Davis Osborne: John Beckett
Paul Wilson: Carl Glatzel
Mark Rowe: Sergeant Thomas
Stella Doyle: Mrs. Haskett
Ingrid Bisu: Jessica
Stacy Johnson: 
Lindsay Ayliffe: Judge
Nicky Buggs: Witch Woman
Rebecca Lines: Witch #2
Robert Walker Branchaud: Prison Guard
Nicholas Massouh: Doctor
Chris Greene: Deputy
Kaleka: Jury Foreman
Fabio William: Bill Ramsey
"
21,22,Ghostbusters: Afterlife,"$197,352,317","$129,352,317",65.5%,"$68,000,000",34.5%,tt4513678,425909.0,"Carrie Coon: Callie Spengler
Finn Wolfhard: Trevor
Mckenna Grace: Phoebe
Paul Rudd: Gary Grooberson
Logan Kim: Podcast
Celeste O'Connor: Lucky
Bill Murray: Dr. Peter Venkman
Dan Aykroyd: Dr. Raymond Stantz
Ernie Hudson: Winston Zeddemore
Annie Potts: Janine Melnitz
Sigourney Weaver: Dana Barrett
Bokeem Woodbine: Sheriff Domingo
J.K. Simmons: Ivo Shandor
Josh Gad: Muncher (voice)
Bob Gunton: The Ghost Farmer
Billy Bryk: Zahk
Sydney Mae Diaz: Swayze
Shawn Seward: Skittles
Hannah Duke: Reseda
Paulina Jewel Alexis: Bunny
Marlon Kazadi: Thick Neck
Chiara Petersen: Burner Girl
Danielle Kennedy: Roller Granny
Artoun Nazareth: Rufus
Crystal Roseborough: Crystal
Dusan Rokvic: Landlord
Emma Portner: Spirit of Gozer
Stella Aykroyd: Deputy Medjuck
Kim Faires: Waitress
Shohreh Aghdashloo: Gozer (voice)
Harold Ramis: Dr. Egon Spengler (archive footage)
Olivia Wilde: Gozer the Gozerian (uncredited)
Tracy Letts: Jack (uncredited)
Oliver Cooper: Elton (uncredited)
CJ Collard: Diner Patron (uncredited)
Bud Klasky: Sheriff / Restaurant (uncredited)
Faith Louissaint: Diner Counter Staff (uncredited)
Daniel D'Angelo Sparks: Walmart Customer (uncredited)
"
22,23,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%,tt13696296,848880.0,"Zhang Hanyu: Zhang Jingyu
Oho Ou: Jin Zai
Quan Yuan: Ren Wenting
Yawen Zhu: Tao Jun
Jackson Yee: Yang Xiaoyang
Chen Li: Wu Chenguang
Gao Ge: 
Zhang Zifeng: 
Feng Wenjuan: 
Geng Le: 
Liang Dawei: 
Zhang Yamei: 
Yang Qiru: 
Ye He: 
Dan Bao: 
Jenny Zhang: 
Ashton Chen: 
Ni Hongjie: 
Zhou Ye: 
Huang Jinkun: 
Li Yi-Min: 
Sang Ling: 
Liu Lin: 
Tian Gao: 
Tong Liya: 
Xi Lai: 
Yu Ailei: 
Yin Xiaotian: 
Zhang Duo: 
Mei Ting: 
Ting Wang: 
Zhou Bichang: 
Jie Jiatong: 
Song Jia: Huang Jiahui
Jason Gu: 
Zhang Tian'ai: 
Qin Li: 
Li Ming Hu: 
Huang Lu: 
Lai Xiaosheng: 
William Feng: 
Zhang Songwen: 
John F. Cruz: Dr. Bruce Aylward
Yu Feihong: 
"
23,24,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%,tt11448076,639557.0,"Zhang Yi: Zhang Xian Chen
Yu Hewei: Zhou Yi
Liu Haocun: Xiao Lan
Qin Hailu: Wang Yu
Ni Dahong: Gao Bin
Yawen Zhu: Chu Liang
Li Naiwen: Lu Ming
Yu Ailei: Jin Zhide
Zhou Xiaofan: Xiao Meng
Lei Jiayin: Xie Zirong
"
24,25,The Suicide Squad,"$167,417,425","$55,817,425",33.3%,"$111,600,000",66.7%,tt6334354,436969.0,"Margot Robbie: Harleen Quinzel / Harley Quinn
Idris Elba: Robert DuBois / Bloodsport
John Cena: Christopher Smith / Peacemaker
Joel Kinnaman: Colonel Rick Flag
Sylvester Stallone: Nanaue / King Shark (voice)
Viola Davis: Amanda Waller
David Dastmalchian: Abner Krill / Polka-Dot Man
Daniela Melchior: Cleo Cazo / Ratcatcher 2
Michael Rooker: Brian Durlin / Savant
Jai Courtney: George 'Digger' Harkness / Captain Boomerang
Peter Capaldi: Gaius Grieves / The Thinker
Alice Braga: Sol Soria
Pete Davidson: Richard Hertz / Blackguard
Joaquín Cosío: Mayor General Mateo Suarez
Juan Diego Botto: Presidente General Silvio Luna
Storm Reid: Tyla DuBois
Nathan Fillion: Cory Pitzner / T.D.K.
Taika Waititi: Ratcatcher
Steve Agee: John Economos / On-Set King Shark
Sean Gunn: Weasel / Calendar Man
John Ostrander: Doctor Fitzgibbon
Flula Borg: Gunter Braun / Javelin
Mayling Ng: Mongal
Stephen Blackehart: Briscoe
Tinashe Kajese: Flo Crawley
Jennifer Holland: Emilia Harcourt
Fernando Martinez: Sliced Dome Soldado
Dee Bradley Baker: Sebastian (voice)
Jaws: Sebastian Rat
Crisp Ratt: Sebastian Rat
Natalia Safran: Kaleidoscope
Jared Leland Gore: Double Down
Rey Hernandez: Teniente
Ray Benitez: Coronel
Reinaldo Faberlle: Large Guerrilla
Jonathan Fritschi: Delicious Hot Dog Guerrilla
Josh Ventura: Astronaut
Gerardo Davila: General Vera
Mikaela Hoover: Camila
Lynne Ashe: Polka-Dot Man's Mom
Julio Cesar Ruiz: Milton
J.R. Adduci: Road Block Soldado
Curtis Lyons Jr.: Road Block Soldado #3
Maya Le Clark: Young Cleo
Elideusa Gomes Almeida: La Gatita Presents Traditional Corto Maltese Dancer
Shanna Kernan: La Gatita Presents Traditional Corto Maltese Dancer
Bridget Taylor: La Gatita Presents Traditional Corto Maltese Dancer
Monica Rivera: La Gatita Presents Traditional Corto Maltese Dancer
Andrea Andrade: La Gatita Waitress
Giovanni Rodriguez: Texting Torturer
Giovannie Cruz: Isabella
Sergio Carlo: Isabella's Second
Edgar Zanabria: Torn-In-Half Soldado
Grecia Balboa: Security Dispatcher
Kenneth Trujillo: Bespectacled Soldado
Randy Havens: Star-Crossed Man
Michelle Civile: Star-Crossed Woman
Gabrielle Manning: Star-Crossed Kid
Michael Aaron Milligan: Star-Crossed Dude
Diany Rodriguez: Star-Crossed Gal
Teresita Mans: Star-Crossed Lady
Terence Rosemore: Crew Chief
Lloyd Kaufman: Dancing La Gatita Bar Patron (uncredited)
Pom Klementieff: La Gatita Amable Dancer (uncredited)
"
25,26,Space Jam: A New Legacy,"$162,892,228","$70,592,228",43.3%,"$92,300,000",56.7%,tt3554046,379686.0,"LeBron James: LeBron James
Don Cheadle: Al G. Rhythm
Cedric Joe: Dominic 'Dom' James
Jeff Bergman: Bugs Bunny / Sylvester / Yosemite Sam / Fred Flintstone (voice)
Gabriel Iglesias: Speedy Gonzales (voice)
Zendaya: Lola Bunny (voice)
Eric Bauza: Daffy Duck / Porky Pig / Foghorn Leghorn / Elmer Fudd (voice)
Candi Milo: Granny (voice)
Bob Bergen: Tweety Bird (voice)
Fred Tatasciore: Taz (voice)
Anthony Davis: Anthony Davis / The Brow
Damian Lillard: Damian Lillard / Chronos
Klay Thompson: Klay Thompson / Wet-Fire
Nneka Ogwumike: Nneka Ogwumike / Arachnneka
Diana Taurasi: Diana Taurasi / White Mamba
Sonequa Martin-Green: Kamiyah James
Ceyair J. Wright: Darius James
Harper Leigh Alexander: Xosha James
Khris Davis: Malik
Xosha Roquemore: Shanice James
Stephen Kankole: Young LeBron (13 Years)
Jalyn Hall: Young Malik (13 Years)
Wood Harris: Coach C
Jordan Thomas: Young Boy
Sue Bird: Sue Bird
Draymond Green: Draymond Green
A’ja Wilson: A’ja Wilson
Randy Mims: Barbershop Customer
Gerald 'Slink' Johnson: Warner Bros. Security Guard
Sarah Silverman: Warner Bros. Executive
Steven Yeun: Warner Bros. Executive
Ernie Johnson: Game Announcer
Lil Rel Howery: Game Announcer
Michael B. Jordan: Self
Rosario Dawson: Wonder Woman (voice)
Justin Roiland: Rick Sanchez / Morty Smith (voice)
Kimberly Brooks: Additional Voices (voice)
Barack Obama: Self (archive footage) (uncredited)
Michelle Obama: Self (archive footage) (uncredited)
David Stern: Self (archive footage) (uncredited)
"
26,27,The Matrix Resurrections,"$156,575,035","$37,686,805",24.1%,"$118,888,230",75.9%,tt10838180,624860.0,"Keanu Reeves: Thomas A. Anderson / Neo
Carrie-Anne Moss: Tiffany / Trinity
Yahya Abdul-Mateen II: Morpheus / Agent Smith
Jessica Henwick: Bugs
Jonathan Groff: Smith
Neil Patrick Harris: The Analyst
Priyanka Chopra Jonas: Sati
Christina Ricci: Gwyn de Vere
Jada Pinkett Smith: Niobe
Telma Hopkins: Freya
Chad Stahelski: Chad
Lambert Wilson: The Merovingian
Brian J. Smith: Berg
Toby Onwumere: Sequoia
Max Riemelt: Sheperd
Eréndira Ibarra: Lexy
Andrew Lewis Caldwell: Jude
Joshua Grothe: FunktIøn
Michael X. Sommers: Skroce
L. Trey Wilson: Hanno
Mumbi Maina: Ellster
Max Mauff: Quillion
Purab Kohli: Zen
Freema Agyeman: Astra
Sabrina Strehl: Fiona
Andrew Rothney: Scott
Cooper Rivers: GJ
Esther Silex: Brainstormer #1
Frank Isom: Brainstormer #2
Leo Sheng: Bobbi
John Gaeta: Deus Machina Employee #1
Donald Mustard: Deus Machina Employee #2
Kim Libreri: Deux Machina Employee #3
Joe Mazza: Cop
Julian Grey: Brandon
Gaige Chaturantabut: Donnie
Tiger Hu Chen: M.O.T.C.
Volkhart Buff: Kush
Amadei Weiland: Agent White
Stephen Dunlevy: Agent Jones
Ellen Hollman: Echo
Ian Pirie: Lieutenant
Nicolas de Pruyssenaere: Lead SWAT
Felix Quinton: SWAT
Aaron Pina: FBI
Dani Swan: Woman in Red
London Breed: Calliope
Steven Roy: Thomas's Reflection
Mercy Malick: Wife
Juval Dieziger: Utrix Driver
James McTeigue: Innocuous Man
Sarah McTeigue: Tiffany's Reflection
William W. Barbour: Businessman (uncredited)
Kenny Beers: SWAT Team Member / Runner (uncredited)
Thomas Dalby: SWAT Officer (uncredited)
John Lobato: FBI Agent (uncredited)
Ed Moy: Noodle Shop Patron (uncredited)
James D. Weston II: Military / SWAT (uncredited)
Laurence Fishburne: Morpheus (archive footage) (uncredited)
Hugo Weaving: Agent Smith (archive footage) (uncredited)
Gloria Foster: Oracle (archive footage) (uncredited)
"
